,short_name,age,height_cm,weight_kg,club,wage_eur,pace,shooting,passing,dribbling,defending,gk_diving,gk_handling,gk_kicking,gk_speed,gk_positioning
27,M. Ãzil,28,180,76,Arsenal,265000,71,74,87,86,24,,,,,
28,M. Hummels,28,191,92,FC Bayern Munich,215000,64,58,75,71,89,,,,,
29,D. GodÃ­n,31,186,78,Atlético Madrid,125000,65,48,65,63,88,,,,,
30,J. Boateng,28,192,90,FC Bayern Munich,215000,75,50,72,67,88,,,,,
31,L. Bonucci,30,190,85,Milan,210000,68,54,70,70,87,,,,,
32,P. Aubameyang,28,187,80,Borussia Dortmund,165000,96,84,75,81,37,,,,,
33,P. Pogba,24,191,84,Manchester United,195000,74,79,84,85,68,,,,,
34,C. Eriksen,25,182,76,Tottenham Hotspur,165000,75,78,88,84,47,,,,,
35,M. Verratti,24,165,60,Paris Saint-Germain,130000,65,59,84,89,79,,,,,
36,N. KantÃ©,26,168,68,Chelsea,190000,81,66,75,79,81,,,,,
37,PiquÃ©,30,194,85,FC Barcelona,240000,65,61,69,65,86,,,,,
38,S. HandanoviÄ,32,193,89,Inter,91000,,,,,,87,86,69,56,87
39,David Silva,31,173,67,Manchester City,220000,68,72,87,87,38,,,,,
40,I. RakitiÄ,29,184,78,FC Barcelona,275000,65,84,86,83,60,,,,,
41,M. HamÅ¡Ã­k,29,183,79,Napoli,130000,74,80,84,84,68,,,,,
42,Marcelo,29,174,75,Real Madrid,250000,78,69,80,85,82,,,,,
43,E. Cavani,30,184,71,Paris Saint-Germain,160000,77,83,72,80,42,,,,,
44,A. Vidal,30,180,75,FC Bayern Munich,160000,75,81,80,79,83,,,,,
45,R. Lukaku,24,190,94,Manchester United,210000,83,85,70,74,34,,,,,
46,Isco,25,176,74,Real Madrid,250000,71,83,82,89,54,,,,,
47,H. Kane,23,188,86,Tottenham Hotspur,165000,71,87,72,78,42,,,,,
48,Coutinho,25,171,68,Liverpool,205000,82,78,83,88,35,,,,,
49,J. RodrÃ­guez,25,180,75,FC Bayern Munich,250000,76,85,85,83,40,,,,,
50,Alex Sandro,26,181,81,Juventus,175000,86,65,77,81,81,,,,,
51,D. Alaba,25,180,76,FC Bayern Munich,150000,86,73,81,80,82,,,,,
52,T. Alderweireld,28,187,91,Tottenham Hotspur,165000,66,58,72,65,87,,,,,
53,P. Äech,35,196,90,Arsenal,92000,,,,,,82,87,76,42,83
54,Pepe,34,188,81,Be?ikta? J.K.,94000,68,51,57,61,86,,,,,
55,F. RibÃ©ry,34,170,72,FC Bayern Munich,175000,82,76,83,90,25,,,,,
56,Cesc FÃ bregas,30,180,77,Chelsea,210000,63,77,88,80,61,,,,,
57,K. Benzema,29,187,79,Real Madrid,295000,78,84,77,82,22,,,,,
58,Miranda,32,186,78,Inter,115000,71,49,60,67,88,,,,,
59,Sokratis,29,186,85,Borussia Dortmund,110000,78,52,55,60,87,,,,,
60,D. Mertens,30,169,61,Napoli,135000,90,82,79,89,36,,,,,
61,Javi MartÃ­nez,28,190,81,FC Bayern Munich,165000,50,60,69,65,86,,,,,
62,R. Nainggolan,29,176,77,Roma,130000,78,80,78,82,81,,,,,
63,Diego Costa,28,186,87,Chelsea,235000,75,83,65,76,40,,,,,
64,David Luiz,30,189,84,Chelsea,190000,70,64,74,71,84,,,,,
65,M. Reus,28,180,75,Borussia Dortmund,120000,88,87,84,86,39,,,,,
66,Sergio Busquets,28,189,76,FC Barcelona,250000,40,59,79,74,82,,,,,
67,T. MÃ¼ller,27,186,75,FC Bayern Munich,190000,77,82,77,78,46,,,,,
68,R. Varane,24,191,78,Real Madrid,175000,79,45,61,64,84,,,,,
69,Y. Carrasco,23,180,67,Atlético Madrid,77000,88,79,78,88,29,,,,,
70,M. ter Stegen,25,187,85,FC Barcelona,155000,,,,,,84,83,87,45,81
71,Casemiro,25,184,80,Real Madrid,195000,62,68,74,72,84,,,,,
72,B. Leno,25,190,83,Bayer 04 Leverkusen,61000,,,,,,85,84,74,49,85
73,A. Lacazette,26,175,73,Arsenal,180000,86,83,71,85,38,,,,,
74,Azpilicueta,27,178,78,Chelsea,160000,79,55,75,74,86,,,,,
75,I. GÃ¼ndoÄan,26,180,80,Manchester City,190000,71,74,83,87,64,,,,,
76,M. PjaniÄ,27,180,70,Juventus,160000,74,71,86,86,67,,,,,
77,L. Insigne,26,163,59,Napoli,115000,90,74,82,89,25,,,,,
78,A. Barzagli,36,187,87,Juventus,105000,71,34,57,64,88,,,,,
79,V. Kompany,31,193,85,Manchester City,170000,63,54,65,64,84,,,,,
80,Filipe LuÃ­s,31,182,73,Atlético Madrid,81000,79,62,77,77,82,,,,,
81,S. Ruffier,30,188,93,AS Saint-Ãtienne,49000,,,,,,82,84,77,48,85
82,B. Matuidi,30,175,70,Juventus,145000,78,67,77,75,83,,,,,
83,J. Vertonghen,30,189,88,Tottenham Hotspur,130000,67,65,73,70,85,,,,,
84,C. Marchisio,31,180,73,Juventus,160000,78,72,83,84,76,,,,,
85,A. Di MarÃ­a,29,180,75,Paris Saint-Germain,145000,86,77,82,86,47,,,,,
86,Jordi Alba,28,170,68,FC Barcelona,215000,93,69,75,82,81,,,,,
87,K. Glik,29,190,80,AS Monaco,60000,56,32,44,53,86,,,,,
88,D. SubaÅ¡iÄ,32,191,84,AS Monaco,46000,,,,,,84,79,79,53,85
89,H. Mkhitaryan,28,177,75,Manchester United,195000,86,79,80,87,54,,,,,
90,K. Navas,30,185,78,Real Madrid,165000,,,,,,87,82,72,53,80
91,Marco Asensio,21,180,75,Real Madrid,175000,78,82,83,83,39,,,,,
92,Bernardo Silva,22,173,64,Manchester City,165000,81,72,81,90,45,,,,,
93,T. Horn,24,192,90,1. FC Köln,39000,,,,,,83,81,83,48,82
94,D. Alli,21,188,80,Tottenham Hotspur,115000,76,81,77,82,64,,,,,
95,M. Icardi,24,181,75,Inter,105000,78,83,61,75,26,,,,,
96,A. Laporte,23,189,85,Athletic Club de Bilbao,36000,69,50,66,61,86,,,,,
97,E. Bailly,23,187,77,Manchester United,150000,78,42,59,65,84,,,,,
98,Koke,25,178,74,Atlético Madrid,84000,70,75,86,82,63,,,,,
99,Morata,24,189,85,Chelsea,170000,82,80,71,80,23,,,,,
100,K. Koulibaly,26,195,89,Napoli,96000,73,26,43,56,85,,,,,
101,J. Draxler,23,187,72,Paris Saint-Germain,120000,78,80,82,86,34,,,,,
102,Carvajal,25,173,73,Real Madrid,195000,82,45,73,79,83,,,,,
103,S. ManÃ©,25,175,69,Liverpool,175000,93,78,75,85,36,,,,,
104,R. BÃ¼rki,26,187,85,Borussia Dortmund,69000,,,,,,84,82,73,48,80
105,S. Mustafi,25,184,82,Arsenal,145000,67,57,63,62,83,,,,,
106,K. Manolas,26,189,83,Roma,96000,80,19,42,60,86,,,,,
107,Sergio Asenjo,28,189,87,Villarreal CF,46000,,,,,,86,83,76,56,82
108,R. FÃ¤hrmann,28,196,95,FC Schalke 04,54000,,,,,,83,86,52,43,85
109,K. Strootman,27,186,78,Roma,105000,67,74,82,78,78,,,,,
110,Aduriz,36,182,78,Athletic Club de Bilbao,38000,70,83,64,76,46,,,,,
111,A. GÃ³mez,29,165,68,Atalanta,60000,90,77,80,89,31,,,,,
112,Dani Alves,34,172,68,Paris Saint-Germain,115000,82,68,81,85,77,,,,,
113,G. Cahill,31,193,86,Chelsea,160000,63,58,52,61,84,,,,,
114,L. Koscielny,31,186,75,Arsenal,150000,75,41,62,65,85,,,,,
115,Falcao,31,177,72,AS Monaco,68000,69,84,68,78,37,,,,,
116,D. Payet,30,175,77,Olympique de Marseille,60000,75,78,86,87,37,,,,,
117,M. Benatia,30,190,92,Juventus,145000,74,42,54,64,85,,,,,
118,Juan Mata,29,170,63,Manchester United,195000,67,76,84,84,32,,,,,
119,S. Khedira,30,189,89,Juventus,160000,64,74,80,76,80,,,,,
120,Willian,28,175,77,Chelsea,200000,88,76,81,86,49,,,,,
121,E. DÅ¾eko,31,193,84,Roma,115000,64,83,70,74,32,,,,,
122,I. PeriÅ¡iÄ,28,186,79,Inter,110000,84,80,78,82,42,,,,,
123,Bruno,33,184,73,Villarreal CF,59000,41,72,79,75,78,,,,,
124,Pedro,29,169,65,Chelsea,200000,82,77,77,85,37,,,,,
125,Ander Herrera,27,182,70,Manchester United,190000,73,72,81,83,78,,,,,
126,K. MbappÃ©,18,178,73,Paris Saint-Germain,31000,90,80,74,85,47,,,,,
127,O. DembÃ©lÃ©,20,178,67,FC Barcelona,150000,91,76,75,89,33,,,,,
128,T. Lemar,21,170,58,AS Monaco,37000,85,78,80,86,62,,,,,
129,A. Belotti,23,181,72,Torino,58000,82,81,57,78,29,,,,,
130,Marquinhos,23,183,75,Paris Saint-Germain,75000,71,38,68,69,84,,,,,
131,Ederson,23,188,86,Manchester City,87000,,,,,,81,76,82,63,78
132,N. SÃ¼le,21,195,97,FC Bayern Munich,78000,65,41,51,49,83,,,,,
133,G. Rulli,25,189,84,Real Sociedad,28000,,,,,,85,79,75,51,82
134,M. Perin,24,188,77,Genoa,28000,,,,,,80,85,71,56,78
135,S. de Vrij,25,189,78,Lazio,56000,68,41,58,65,85,,,,,
136,S. Umtiti,23,182,75,FC Barcelona,135000,74,64,71,71,82,,,,,
137,Fabinho,23,188,78,AS Monaco,37000,74,65,76,76,83,,,,,
138,JoÃ£o MÃ¡rio,24,179,73,Inter,70000,73,70,80,83,70,,,,,
139,N. KeÃ¯ta,22,172,64,RB Leipzig,68000,73,71,77,89,62,,,,,
140,Roberto Firmino,25,181,76,Liverpool,135000,77,81,79,85,46,,,,,
141,J. GimÃ©nez,22,185,76,Atlético Madrid,53000,70,45,51,52,85,,,,,
142,M. Musacchio,26,180,73,Milan,105000,70,51,67,58,84,,,,,
143,Oscar,25,179,67,Brazil,0,74,75,79,82,43,,,,,
144,A. Lopes,26,184,81,Olympique Lyonnais,60000,,,,,,86,81,71,62,79
145,Danilo Pereira,25,188,83,FC Porto,18000,68,62,69,74,82,,,,,
146,V. van Dijk,25,193,92,Southampton,89000,73,60,67,69,83,,,,,
147,William Carvalho,25,187,83,Sporting CP,21000,53,57,77,74,80,,,,,
148,M. Salah,25,175,71,Liverpool,135000,93,73,74,87,45,,,,,
149,M. Schneiderlin,27,181,75,Everton,115000,68,62,76,77,79,,,,,
150,J. Matip,25,195,90,Liverpool,110000,67,46,68,66,84,,,,,
151,E. Forsberg,25,179,78,RB Leipzig,75000,75,74,83,83,30,,,,,
152,K. Schmeichel,30,189,89,Leicester City,65000,,,,,,83,82,82,61,80
153,Y. Sommer,28,183,79,Borussia MÃ¶nchengladbach,39000,,,,,,81,82,83,51,80
154,O. Toprak,27,186,83,Borussia Dortmund,66000,76,39,62,67,85,,,,,
155,K. Walker,27,183,83,Manchester City,130000,90,63,73,76,80,,,,,
156,I. Gueye,27,174,66,Everton,115000,76,60,70,77,83,,,,,
157,R. Mahrez,26,179,67,Leicester City,88000,82,74,78,88,28,,,,,
158,Casillas,36,185,84,FC Porto,10000,,,,,,86,74,58,58,80
159,Y. TourÃ©,34,189,90,Manchester City,145000,63,82,80,76,70,,,,,
160,Quaresma,33,175,67,Be?ikta? J.K.,67000,83,76,81,88,18,,,,,
161,JosÃ© Reina,34,188,92,Napoli,59000,,,,,,80,83,82,57,82
162,D. De Rossi,33,184,83,Roma,73000,68,64,73,70,81,,,,,
163,Nani,30,175,66,Lazio,47000,81,79,81,86,24,,,,,
164,W. Sneijder,33,170,72,OGC Nice,47000,69,78,86,82,38,,,,,
165,J. Mascherano,33,174,73,FC Barcelona,155000,65,53,71,68,82,,,,,
166,Santi Cazorla,32,168,66,Arsenal,130000,65,76,85,85,61,,,,,
167,Diego LÃ³pez,35,196,89,RCD Espanyol,19000,,,,,,77,84,76,44,83
168,Juanfran,32,180,72,Atlético Madrid,62000,82,58,75,77,80,,,,,
169,L. Biglia,31,178,63,Milan,105000,69,63,81,80,75,,,,,
170,L. Perrin,31,181,80,AS Saint-Ãtienne,46000,68,65,69,67,86,,,,,
171,Borja Valero,32,175,73,Inter,80000,70,69,85,86,63,,,,,
172,M. DembÃ©lÃ©,29,185,88,Tottenham Hotspur,115000,76,72,77,85,75,,,,,
173,A. Valencia,31,180,83,Manchester United,130000,87,65,75,81,78,,,,,
174,E. Garay,30,188,77,Valencia CF,40000,43,64,66,64,84,,,,,
175,L. Piszczek,32,184,79,Borussia Dortmund,66000,79,69,76,74,81,,,,,
176,K. Gameiro,30,173,70,Atlético Madrid,73000,87,83,75,78,35,,,,,
177,Jonas,33,182,74,SL Benfica,21000,65,85,75,84,35,,,,,
178,Rui PatrÃ­cio,29,190,84,Sporting CP,19000,,,,,,85,81,80,55,79
179,E. Banega,29,174,71,Sevilla FC,27000,69,70,85,84,62,,,,,
180,B. HÃ¶wedes,29,187,82,Juventus,50000,64,47,63,64,83,,,,,
181,A. Lallana,29,172,73,Liverpool,135000,73,75,80,84,65,,,,,
182,M. MandÅ¾ukiÄ,31,190,86,Juventus,135000,72,78,71,74,65,,,,,
183,N. GaitÃ¡n,29,173,68,Atlético Madrid,70000,81,74,81,85,39,,,,,
184,S. Giovinco,30,163,61,Toronto FC,15000,84,81,79,87,27,,,,,
185,Adrien Silva,28,175,69,Portugal,0,65,76,82,81,78,,,,,
186,JosÃ© CallejÃ³n,30,178,73,Napoli,87000,90,78,71,83,35,,,,,
187,S. N'Zonzi,28,190,75,Sevilla FC,25000,57,67,73,71,80,,,,,
188,B. Dost,28,196,89,Sporting CP,28000,60,83,57,64,43,,,,,
189,G. Bonaventura,27,181,75,Milan,115000,78,77,82,83,67,,,,,
190,S. Kagawa,28,175,68,Borussia Dortmund,75000,70,68,76,87,34,,,,,
191,J. Pastore,28,187,78,Paris Saint-Germain,100000,71,75,83,85,58,,,,,
192,N. MatiÄ,28,194,85,Manchester United,140000,64,70,76,72,80,,,,,
193,N. Otamendi,29,183,81,Manchester City,140000,63,56,59,54,83,,,,,
194,Iago Aspas,29,176,67,RC Celta,39000,81,83,73,85,29,,,,,
195,Vitolo,27,184,80,UD Las Palmas,68000,80,77,79,83,28,,,,,
196,G. Donnarumma,18,196,90,Milan,35000,,,,,,88,78,72,50,78
197,L. SanÃ©,21,183,75,Manchester City,125000,94,77,72,86,35,,,,,
198,SaÃºl,22,181,70,Atlético Madrid,59000,73,69,78,81,77,,,,,
199,A. Martial,21,181,76,Manchester United,115000,90,79,70,86,41,,,,,
200,K. BaldÃ© Diao,22,181,80,AS Monaco,46000,92,76,72,86,29,,,,,
201,Deulofeu,23,177,73,FC Barcelona,165000,93,70,75,88,26,,,,,
202,C. Tolisso,22,181,78,FC Bayern Munich,98000,74,76,78,78,76,,,,,
203,M. KovaÄiÄ,23,178,77,Real Madrid,150000,81,69,82,85,61,,,,,
204,L. Goretzka,22,189,79,FC Schalke 04,46000,84,73,79,80,77,,,,,
205,AndrÃ© Gomes,23,188,84,FC Barcelona,150000,68,71,78,78,71,,,,,
206,F. Bernardeschi,23,183,75,Juventus,110000,84,76,77,86,34,,,,,
207,J. Tah,21,192,92,Bayer 04 Leverkusen,47000,72,27,58,58,82,,,,,
208,T. Bakayoko,22,185,77,Chelsea,105000,73,49,70,75,81,,,,,
209,E. Dier,23,188,90,Tottenham Hotspur,85000,72,63,71,65,81,,,,,
210,Suso,23,176,70,Milan,110000,82,75,81,87,23,,,,,
211,R. Sterling,22,170,69,Manchester City,140000,93,71,74,85,46,,,,,
212,Sergio Rico,23,194,88,Sevilla FC,16000,,,,,,79,80,78,52,82
213,T. Werner,21,180,75,RB Leipzig,68000,91,79,65,81,28,,,,,
214,Willian JosÃ©,25,189,93,Real Sociedad,42000,67,82,65,76,37,,,,,
215,IÃ±igo MartÃ­nez,26,182,79,Real Sociedad,37000,71,56,63,61,82,,,,,
216,S. SaviÄ,26,187,79,Atlético Madrid,62000,63,35,52,56,83,,,,,
217,A. RÃ¼diger,24,190,85,Chelsea,105000,74,40,64,63,82,,,,,
218,G. Wijnaldum,26,175,69,Liverpool,130000,81,75,76,84,66,,,,,
219,V. Wanyama,26,184,87,Tottenham Hotspur,99000,64,66,70,74,82,,,,,
220,X. Shaqiri,25,169,72,Stoke City,85000,83,77,78,85,46,,,,,
221,G. Xhaka,24,185,82,Arsenal,110000,50,66,79,72,72,,,,,
222,H. Son,24,183,77,Tottenham Hotspur,95000,86,83,75,83,25,,,,,
223,Lucas,24,172,72,Paris Saint-Germain,92000,93,74,75,86,45,,,,,
224,D. Klaassen,24,179,70,Everton,110000,73,80,74,74,67,,,,,
225,F. Thauvin,24,179,70,Olympique de Marseille,40000,82,76,78,84,36,,,,,
226,Manu Trigueros,25,178,71,Villarreal CF,43000,73,74,80,81,65,,,,,
227,Q. Promes,25,174,72,Spartak Moscow,76000,89,81,76,83,29,,,,,
228,N. Fekir,23,173,78,Olympique Lyonnais,70000,80,79,77,86,31,,,,,
229,J. Henderson,27,182,67,Liverpool,115000,72,70,83,76,76,,,,,
230,W. SzczÄsny,27,196,85,Juventus,90000,,,,,,83,77,74,49,78
231,K. Trapp,26,189,88,Paris Saint-Germain,71000,,,,,,80,78,79,49,84
232,N. Clyne,26,175,67,Liverpool,115000,83,61,71,77,80,,,,,
233,O. Baumann,27,187,82,TSG 1899 Hoffenheim,37000,,,,,,82,82,64,49,81
234,A. Florenzi,26,173,67,Roma,73000,85,79,78,82,76,,,,,
235,D. Rose,26,174,76,Tottenham Hotspur,99000,81,63,73,78,81,,,,,
236,L. Bender,28,185,81,Bayer 04 Leverkusen,64000,68,64,73,72,82,,,,,
237,A. Ramsey,26,183,76,Arsenal,130000,68,75,79,81,65,,,,,
238,C. Immobile,27,185,85,Lazio,70000,81,83,61,77,38,,,,,
239,VÃ­ctor RuÃ­z,28,184,80,Villarreal CF,43000,58,42,64,60,83,,,,,
240,M. Rojo,27,187,80,Manchester United,130000,71,59,69,68,81,,,,,
241,Lucas VÃ¡zquez,26,173,70,Real Madrid,185000,81,75,81,82,39,,,,,
242,J. Seri,25,168,65,OGC Nice,45000,80,71,82,81,72,,,,,
243,R. Jarstein,32,190,82,Hertha BSC,30000,,,,,,78,81,72,43,87
244,S. Lichtsteiner,33,182,75,Juventus,115000,77,59,73,76,80,,,,,
245,David Villa,35,175,69,New York City FC,12000,69,83,74,82,31,,,,,
246,Fernandinho,32,179,67,Manchester City,130000,73,73,76,78,77,,,,,
247,A. Turan,30,175,76,FC Barcelona,170000,71,73,81,84,61,,,,,
248,Raffael,32,174,69,Borussia MÃ¶nchengladbach,54000,72,79,80,86,41,,,,,
249,M. GÃ³mez,31,189,88,VfL Wolfsburg,85000,72,82,62,73,28,,,,,
250,J. Hart,30,196,91,West Ham United,110000,,,,,,83,78,75,60,81
251,RaÃºl Albiol,31,190,82,Napoli,73000,57,41,57,59,84,,,,,
252,B. Costil,29,187,88,FC Girondins de Bordeaux,46000,,,,,,82,80,78,51,82
253,JoÃ£o Moutinho,30,170,61,AS Monaco,48000,69,75,81,81,70,,,,,
254,A. Consigli,30,189,82,Sassuolo,52000,,,,,,82,83,72,40,81
255,L. Baines,32,170,74,Everton,115000,70,71,80,79,80,,,,,
256,S. Mandanda,32,185,82,Olympique de Marseille,31000,,,,,,86,78,77,48,77
257,A. Williams,32,183,77,Everton,115000,65,43,56,61,81,,,,,
258,S. Nasri,30,175,75,Antalyaspor,29000,78,76,81,84,38,,,,,
259,G. Castro,30,172,74,Borussia Dortmund,72000,71,72,83,81,72,,,,,
260,E. Viviano,31,195,90,Sampdoria,37000,,,,,,81,84,79,32,78
261,C. Vela,28,177,77,Real Sociedad,46000,84,79,77,82,25,,,,,
262,D. Sturridge,27,180,76,Liverpool,140000,76,82,69,79,25,,,,,
263,Naldo,34,198,91,FC Schalke 04,48000,69,69,63,61,84,,,,,
264,A. BegoviÄ,30,199,83,Bournemouth,64000,,,,,,81,81,73,55,79
265,C. Bravo,34,184,80,Manchester City,110000,,,,,,80,80,87,56,77
266,A. Witsel,28,186,73,Belgium,0,71,74,77,82,73,,,,,
267,BeÃ±at,30,177,76,Athletic Club de Bilbao,35000,58,75,84,75,66,,,,,
268,J. HernÃ¡ndez,29,175,73,West Ham United,135000,79,80,66,78,31,,,,,
269,B. IvanoviÄ,33,185,91,Zenit St. Petersburg,73000,62,61,68,61,83,,,,,
270,O. Giroud,30,192,88,Arsenal,140000,53,81,70,73,38,,,,,
271,F. Fazio,30,195,85,Roma,73000,30,41,54,54,84,,,,,
272,V. Äorluka,31,192,84,Lokomotiv Moscow,54000,58,51,67,66,82,,,,,
273,F. Muslera,31,190,84,Galatasaray SK,57000,,,,,,81,75,75,61,83
274,L. Fejsa,28,183,80,SL Benfica,18000,53,57,66,68,81,,,,,
275,O. Karnezis,31,190,81,Watford,30000,,,,,,80,83,70,39,80
276,M. Kruse,29,180,76,SV Werder Bremen,47000,71,84,82,82,39,,,,,
277,M. ArnautoviÄ,28,192,83,West Ham United,125000,77,74,79,81,53,,,,,
278,Y. Brahimi,27,175,66,FC Porto,21000,80,73,77,89,33,,,,,
279,G. SigurÃ°sson,27,186,77,Everton,130000,66,81,84,79,52,,,,,
280,M. Balotelli,26,189,88,OGC Nice,51000,80,82,70,79,26,,,,,
281,L. Stindl,28,181,80,Borussia MÃ¶nchengladbach,56000,71,84,79,79,65,,,,,
282,Marlos,29,174,69,Shakhtar Donetsk,1000,83,76,78,87,48,,,,,
283,Taison,29,172,64,Shakhtar Donetsk,1000,92,79,75,86,47,,,,,
284,Parejo,28,180,75,Valencia CF,45000,52,77,87,77,61,,,,,
285,Iborra,29,190,91,Leicester City,85000,50,73,73,68,83,,,,,
286,Douglas Costa,26,170,65,Juventus,115000,92,77,77,85,32,,,,,
287,J. Cuadrado,29,179,71,Juventus,130000,91,74,75,87,61,,,,,
288,G. Medel,29,171,71,Be?ikta? J.K.,64000,74,48,68,70,81,,,,,
289,Pizzi,27,177,72,SL Benfica,19000,79,77,81,83,61,,,,,
290,Jonathan Viera,27,170,64,UD Las Palmas,31000,81,75,81,86,53,,,,,
291,F. Acerbi,29,192,88,Sassuolo,68000,62,50,58,58,85,,,,,
292,K. Bellarabi,27,183,80,Bayer 04 Leverkusen,67000,92,77,74,85,33,,,,,
293,Roque Mesa,28,171,74,Swansea City,85000,77,61,76,77,73,,,,,
294,F. VÃ¡zquez,28,186,82,Sevilla FC,27000,64,77,79,84,43,,,,,
295,C. Bacca,30,181,77,Villarreal CF,125000,77,79,64,79,24,,,,,
296,Felipe,28,185,77,FC Porto,20000,68,41,59,61,83,,,,,
297,I. Slimani,29,188,83,Leicester City,100000,69,78,67,73,47,,,,,
298,Gabriel Jesus,20,175,73,Manchester City,115000,87,79,71,87,26,,,,,
299,A. Christensen,21,188,78,Chelsea,86000,64,31,62,67,84,,,,,
300,HÃ©ctor BellerÃ­n,22,178,74,Arsenal,91000,95,51,69,78,75,,,,,
301,D. SÃ¡nchez,21,187,79,Tottenham Hotspur,70000,71,47,50,59,81,,,,,
302,Gelson Martins,22,173,65,Sporting CP,20000,94,70,73,86,44,,,,,
303,M. Lanzini,24,167,59,West Ham United,95000,82,71,78,86,28,,,,,
304,J. Butland,24,196,95,Stoke City,50000,,,,,,81,83,72,41,78
305,M. Keane,24,191,82,Everton,91000,72,49,64,68,82,,,,,
306,M. Sanson,22,180,73,Olympique de Marseille,34000,76,75,80,80,76,,,,,
307,D. Berardi,22,183,72,Sassuolo,62000,85,80,76,84,30,,,,,
308,J. Kimmich,22,176,70,FC Bayern Munich,81000,70,67,82,80,77,,,,,
309,Williams,23,186,77,Athletic Club de Bilbao,31000,93,78,73,79,34,,,,,
310,J. Weigl,21,186,72,Borussia Dortmund,46000,70,49,76,76,76,,,,,
311,NÃ©lson Semedo,23,177,67,FC Barcelona,125000,92,57,68,80,76,,,,,
312,R. Barkley,23,189,76,Everton,105000,77,73,77,82,55,,,,,
313,Sergi Roberto,25,178,68,FC Barcelona,140000,77,64,80,76,79,,,,,
314,Rafinha,24,174,71,FC Barcelona,140000,74,77,79,85,62,,,,,
315,Felipe Anderson,24,175,70,Lazio,57000,92,75,77,86,53,,,,,
316,R. Guerreiro,23,170,71,Borussia Dortmund,58000,77,75,81,84,74,,,,,
317,A. Rabiot,22,188,71,Paris Saint-Germain,77000,70,72,78,78,73,,,,,
318,Bruma,22,173,70,RB Leipzig,63000,93,71,73,86,34,,,,,
319,M. GÃ¶tze,25,176,75,Borussia Dortmund,63000,68,72,81,88,38,,,,,
320,J. Corona,24,173,62,FC Porto,17000,83,72,74,88,40,,,,,
321,S. Aurier,24,176,76,Tottenham Hotspur,79000,84,66,73,77,78,,,,,
322,H. Ziyech,24,180,70,Ajax,16000,76,74,86,78,52,,,,,
323,M. BrozoviÄ,24,181,68,Inter,64000,73,73,79,81,68,,,,,
324,Camacho,27,183,75,VfL Wolfsburg,66000,61,60,71,69,80,,,,,
325,J. Wilshere,25,172,68,Arsenal,115000,71,69,80,82,62,,,,,
326,Mario Gaspar,26,182,74,Villarreal CF,38000,81,70,70,73,80,,,,,
327,R. RodrÃ­guez,24,180,77,Milan,83000,74,67,80,76,77,,,,,
328,W. Zaha,24,180,66,Crystal Palace,60000,90,71,71,86,33,,,,,
329,C. Bakambu,26,182,73,Villarreal CF,45000,87,78,72,80,35,,,,,
330,T. Meunier,25,190,88,Paris Saint-Germain,77000,76,74,75,77,79,,,,,
331,Jorginho,25,180,65,Napoli,71000,75,64,81,80,70,,,,,
