,short_name,age,height_cm,weight_kg,club,wage_eur,pace,shooting,passing,dribbling,defending,gk_diving,gk_handling,gk_kicking,gk_speed,gk_positioning
49,J. Vertonghen,31,189,86,Tottenham Hotspur,155000,63,63,73,72,88,,,,,
50,D. Mertens,31,169,61,Napoli,135000,89,83,80,91,34,,,,,
51,A. SÃ¡nchez,29,169,74,Manchester United,250000,82,83,79,89,45,,,,,
52,P. Aubameyang,29,187,80,Arsenal,220000,94,84,75,80,37,,,,,
53,Jordi Alba,29,170,68,FC Barcelona,250000,93,69,79,83,79,,,,,
54,C. Immobile,28,185,85,Lazio,115000,82,87,63,82,39,,,,,
55,K. Navas,31,185,80,Real Madrid,195000,,,,,,90,81,75,53,82
56,L. SanÃ©,22,183,75,Manchester City,195000,95,81,78,86,38,,,,,
57,R. Varane,25,191,81,Real Madrid,210000,84,45,61,64,86,,,,,
58,Ederson,24,188,86,Manchester City,125000,,,,,,85,80,90,63,82
59,M. Verratti,25,165,60,Paris Saint-Germain,135000,65,60,84,89,79,,,,,
60,Roberto Firmino,26,181,76,Liverpool,195000,77,83,80,86,61,,,,,
61,Azpilicueta,28,178,78,Chelsea,175000,76,55,78,73,87,,,,,
62,S. ManÃ©,26,175,69,Liverpool,195000,94,80,76,87,42,,,,,
63,Fernandinho,33,179,67,Manchester City,185000,67,74,78,79,83,,,,,
64,Naldo,35,198,91,FC Schalke 04,42000,63,69,64,61,87,,,,,
65,M. Ãzil,29,180,76,Arsenal,190000,70,73,86,85,24,,,,,
66,M. Benatia,31,189,94,Juventus,160000,70,45,54,64,87,,,,,
67,M. PjaniÄ,28,178,72,Juventus,180000,66,70,86,86,73,,,,,
68,I. PeriÅ¡iÄ,29,186,80,Inter,120000,86,80,80,84,62,,,,,
69,J. Boateng,29,192,90,FC Bayern Munich,125000,73,50,72,65,85,,,,,
70,L. Bonucci,31,190,85,Juventus,160000,61,58,69,70,87,,,,,
71,Thiago,27,174,70,FC Bayern Munich,130000,73,74,84,90,67,,,,,
72,Parejo,29,182,74,Valencia CF,72000,47,80,88,79,71,,,,,
73,T. MÃ¼ller,28,186,75,FC Bayern Munich,145000,74,83,80,78,50,,,,,
74,Douglas Costa,27,172,70,Juventus,175000,95,75,81,91,43,,,,,
75,Alex Sandro,27,180,80,Juventus,160000,85,65,77,81,82,,,,,
76,N. MatiÄ,29,194,85,Manchester United,195000,56,71,79,76,83,,,,,
77,N. Otamendi,30,183,81,Manchester City,185000,60,57,63,59,86,,,,,
78,Marco Asensio,22,182,76,Real Madrid,215000,81,84,83,85,43,,,,,
79,M. Å kriniar,23,187,80,Inter,82000,72,41,57,61,87,,,,,
80,SaÃºl,23,184,77,Atl�tico Madrid,77000,70,77,79,82,78,,,,,
81,Alisson,25,191,91,Liverpool,115000,,,,,,82,81,85,49,83
82,S. MilinkoviÄ-SaviÄ,23,191,76,Lazio,73000,69,79,80,83,77,,,,,
83,Fabinho,24,188,78,Liverpool,130000,71,69,78,77,84,,,,,
84,N. Fekir,24,173,75,Olympique Lyonnais,92000,79,82,81,89,33,,,,,
85,R. Sterling,23,170,69,Manchester City,180000,93,73,76,88,47,,,,,
86,J. Kimmich,23,176,70,FC Bayern Munich,92000,73,68,83,82,77,,,,,
87,K. Manolas,27,189,83,Roma,96000,83,18,42,61,86,,,,,
88,D. Alaba,26,180,76,FC Bayern Munich,110000,82,73,80,80,81,,,,,
89,V. van Dijk,26,193,92,Liverpool,150000,71,60,67,70,85,,,,,
90,T. Alderweireld,29,186,81,Tottenham Hotspur,140000,62,57,72,65,88,,,,,
91,Koke,26,176,74,Atl�tico Madrid,88000,69,75,88,82,69,,,,,
92,A. Robben,34,180,80,FC Bayern Munich,120000,79,85,81,88,32,,,,,
93,Z. IbrahimoviÄ,36,195,95,LA Galaxy,15000,59,86,77,78,34,,,,,
94,Pepe,35,188,81,Be?ikta? J.K.,57000,68,51,57,61,85,,,,,
95,V. Kompany,32,190,85,Manchester City,170000,56,54,65,65,85,,,,,
96,F. RibÃ©ry,35,170,72,FC Bayern Munich,87000,78,76,82,88,30,,,,,
97,Filipe LuÃ­s,32,182,74,Atl�tico Madrid,81000,75,62,78,78,81,,,,,
98,Falcao,32,177,72,AS Monaco,125000,67,84,69,78,43,,,,,
99,Miranda,33,186,78,Inter,96000,68,49,60,68,88,,,,,
100,B. Matuidi,31,180,75,Juventus,145000,78,68,77,79,83,,,,,
101,R. Nainggolan,30,176,77,Inter,105000,75,79,78,82,83,,,,,
102,Diego Costa,29,188,86,Atl�tico Madrid,100000,75,83,64,76,49,,,,,
103,S. Khedira,31,189,90,Juventus,160000,57,76,80,78,81,,,,,
104,E. DÅ¾eko,32,193,84,Roma,115000,66,85,71,75,46,,,,,
105,A. Vidal,31,180,75,FC Barcelona,205000,57,80,79,77,84,,,,,
106,Y. Brahimi,28,175,66,FC Porto,28000,80,75,78,90,41,,,,,
107,Paulinho,29,182,71,Guangzhou Evergrande Taobao FC,235000,73,81,77,81,79,,,,,
108,M. Reus,29,180,71,Borussia Dortmund,92000,85,86,82,86,44,,,,,
109,Iago Aspas,30,175,67,RC Celta,49000,81,86,77,86,35,,,,,
110,R. Mahrez,27,179,67,Manchester City,205000,85,79,81,90,37,,,,,
111,D. Alli,22,188,80,Tottenham Hotspur,115000,75,81,78,82,65,,,,,
112,N. SÃ¼le,22,195,97,FC Bayern Munich,84000,67,41,52,49,83,,,,,
113,Bernardo Silva,23,173,64,Manchester City,165000,78,72,83,89,46,,,,,
114,M. Perin,25,188,77,Juventus,105000,,,,,,81,85,71,56,79
115,Marquinhos,24,183,75,Paris Saint-Germain,90000,75,38,69,67,85,,,,,
116,D. SÃ¡nchez,22,187,79,Tottenham Hotspur,105000,76,45,55,66,84,,,,,
117,J. GimÃ©nez,23,185,80,Atl�tico Madrid,63000,68,45,51,52,86,,,,,
118,B. Leno,26,190,83,Arsenal,115000,,,,,,84,82,73,49,85
119,Sergi Roberto,26,178,68,FC Barcelona,185000,78,63,81,78,80,,,,,
120,Carvajal,26,173,73,Real Madrid,185000,82,45,73,79,82,,,,,
121,F. Thauvin,25,179,70,Olympique de Marseille,72000,83,80,81,84,42,,,,,
122,Jorginho,26,180,65,Chelsea,155000,72,64,84,82,69,,,,,
123,Alex Telles,25,181,71,FC Porto,22000,85,71,83,81,80,,,,,
124,W. SzczÄsny,28,195,90,Juventus,115000,,,,,,85,81,71,49,82
125,S. de Vrij,26,189,78,Inter,88000,68,41,60,66,86,,,,,
126,A. Lopes,27,184,81,Olympique Lyonnais,72000,,,,,,86,80,74,64,81
127,William Carvalho,26,187,83,Real Betis,38000,51,55,79,75,82,,,,,
128,Sergio Asenjo,29,189,87,Villarreal CF,42000,,,,,,85,83,77,56,82
129,I. GÃ¼ndoÄan,27,180,80,Manchester City,175000,68,74,83,84,69,,,,,
130,A. Lacazette,27,175,73,Arsenal,165000,81,82,72,84,40,,,,,
131,Neto,28,190,84,Valencia CF,45000,,,,,,86,84,79,51,78
132,Rodrigo,27,182,77,Valencia CF,63000,90,81,73,82,44,,,,,
133,H. Son,25,183,65,Tottenham Hotspur,125000,86,85,76,85,42,,,,,
134,Quaresma,34,175,67,Be?ikta? J.K.,80000,83,74,82,88,24,,,,,
135,A. Barzagli,37,187,87,Juventus,95000,68,34,57,64,89,,,,,
136,A. GÃ³mez,30,165,68,Atalanta,53000,90,76,81,89,39,,,,,
137,RaÃºl Albiol,32,190,82,Napoli,88000,53,41,61,63,86,,,,,
138,M. DembÃ©lÃ©,30,185,82,Tottenham Hotspur,135000,72,70,77,87,78,,,,,
139,Cesc FÃ bregas,31,180,77,Chelsea,155000,55,74,88,80,60,,,,,
140,K. Schmeichel,31,189,89,Leicester City,78000,,,,,,83,77,82,60,80
141,K. Benzema,30,185,81,Real Madrid,225000,76,79,76,81,32,,,,,
142,S. Ruffier,31,188,93,AS Saint-�tienne,41000,,,,,,82,84,77,48,85
143,Sokratis,30,186,85,Arsenal,140000,69,51,50,60,84,,,,,
144,Jonas,34,181,74,SL Benfica,25000,64,86,77,84,38,,,,,
145,D. Payet,31,175,77,Olympique de Marseille,75000,73,77,85,86,38,,,,,
146,Javi MartÃ­nez,29,192,86,FC Bayern Munich,105000,51,55,70,64,86,,,,,
147,Willian,29,175,77,Chelsea,175000,88,77,80,86,49,,,,,
148,M. MandÅ¾ukiÄ,32,190,85,Juventus,160000,70,78,71,75,66,,,,,
149,A. Di MarÃ­a,30,180,69,Paris Saint-Germain,125000,85,76,82,85,47,,,,,
150,JosÃ© CallejÃ³n,31,178,73,Napoli,105000,88,78,75,83,47,,,,,
151,K. Walker,28,183,70,Manchester City,165000,90,63,75,77,81,,,,,
152,Illarramendi,28,179,75,Real Sociedad,51000,61,71,80,79,70,,,,,
153,L. HrÃ¡deckÃ½,28,190,80,Bayer 04 Leverkusen,74000,,,,,,85,79,68,41,82
154,H. Mkhitaryan,29,177,75,Arsenal,160000,82,78,79,85,52,,,,,
155,J. Cuadrado,30,179,72,Juventus,150000,91,74,77,88,66,,,,,
156,Gabriel Jesus,21,175,73,Manchester City,130000,86,80,72,87,39,,,,,
157,Kepa,23,187,85,Chelsea,84000,,,,,,84,80,76,33,80
158,Malcom,21,172,74,FC Barcelona,155000,84,79,81,85,27,,,,,
159,M. KovaÄiÄ,24,178,78,Chelsea,165000,79,69,82,86,69,,,,,
160,A. Martial,22,184,76,Manchester United,150000,89,81,73,86,42,,,,,
161,T. Lemar,22,171,62,Atl�tico Madrid,64000,85,76,83,85,59,,,,,
162,P. Kimpembe,22,189,80,Paris Saint-Germain,82000,77,39,67,67,82,,,,,
163,M. Depay,24,176,78,Olympique Lyonnais,84000,88,81,78,84,33,,,,,
164,L. Goretzka,23,189,79,FC Bayern Munich,85000,83,74,80,81,77,,,,,
165,A. Laporte,24,189,85,Manchester City,125000,65,50,67,61,85,,,,,
166,J. Tah,22,194,95,Bayer 04 Leverkusen,67000,71,27,58,58,83,,,,,
167,C. Tolisso,23,181,81,FC Bayern Munich,85000,70,77,79,78,76,,,,,
168,N. KeÃ¯ta,23,172,64,Liverpool,120000,68,73,78,88,64,,,,,
169,T. Horn,25,192,90,1. FC Köln,25000,,,,,,83,80,83,48,82
170,A. Rabiot,23,192,80,Paris Saint-Germain,91000,74,74,79,80,77,,,,,
171,Samu Castillejo,23,182,67,Milan,105000,86,75,81,84,43,,,,,
172,T. Werner,22,181,75,RB Leipzig,70000,93,79,67,83,35,,,,,
173,Bruno Fernandes,23,179,69,Sporting CP,20000,78,80,84,83,62,,,,,
174,K. Coman,22,178,71,FC Bayern Munich,85000,94,76,75,86,25,,,,,
175,GonÃ§alo Guedes,21,179,68,Valencia CF,39000,90,79,76,84,36,,,,,
176,Willian JosÃ©,26,189,93,Real Sociedad,48000,64,83,66,77,40,,,,,
177,Danilo Pereira,26,188,83,FC Porto,21000,66,64,70,74,82,,,,,
178,Morata,25,189,85,Chelsea,145000,82,79,71,80,31,,,,,
179,J. Draxler,24,187,77,Paris Saint-Germain,91000,77,80,82,87,55,,,,,
180,S. SaviÄ,27,187,79,Atl�tico Madrid,67000,58,35,54,57,84,,,,,
181,J. Pickford,24,185,77,Everton,78000,,,,,,83,77,88,48,80
182,Manu Trigueros,26,178,75,Villarreal CF,49000,70,74,81,81,70,,,,,
183,Y. Carrasco,24,181,73,Dalian YiFang FC,20000,88,79,75,87,41,,,,,
184,Nacho FernÃ¡ndez,28,180,76,Real Madrid,180000,74,37,66,64,81,,,,,
185,Gerard Moreno,26,180,77,Villarreal CF,53000,79,81,66,78,45,,,,,
186,R. FÃ¤hrmann,29,197,98,FC Schalke 04,38000,,,,,,83,81,52,43,82
187,O. Baumann,28,187,82,TSG 1899 Hoffenheim,42000,,,,,,82,82,70,49,82
188,Q. Promes,26,174,72,Sevilla FC,28000,90,83,78,83,32,,,,,
189,Pepe Reina,35,188,92,Milan,56000,,,,,,80,83,82,57,82
190,D. De Rossi,34,184,83,Roma,80000,65,63,73,69,85,,,,,
191,Aduriz,37,182,78,Athletic Club de Bilbao,31000,67,82,64,75,50,,,,,
192,S. Mandanda,33,185,82,Olympique de Marseille,51000,,,,,,86,81,70,48,79
193,E. Viviano,32,195,90,Sporting CP,17000,,,,,,83,84,79,32,81
194,Lucas Leiva,31,179,78,Lazio,64000,67,66,76,78,82,,,,,
195,Rui PatrÃ­cio,30,190,84,Wolverhampton Wanderers,74000,,,,,,85,81,80,55,79
196,AdÃ¡n,31,190,92,Atl�tico Madrid,55000,,,,,,81,84,78,55,84
197,Juan Mata,30,170,63,Manchester United,160000,65,76,84,85,37,,,,,
198,E. Banega,30,174,71,Sevilla FC,28000,66,71,86,83,69,,,,,
199,David Luiz,31,189,84,Chelsea,130000,61,65,73,70,82,,,,,
200,Giuliano,28,172,68,Al Nassr,64000,82,78,79,84,46,,,,,
201,Luiz Gustavo,30,187,78,Olympique de Marseille,63000,64,60,71,70,82,,,,,
202,M. Balotelli,27,189,88,OGC Nice,55000,79,84,73,79,24,,,,,
203,B. Dost,29,196,89,Sporting CP,26000,52,83,57,65,45,,,,,
204,S. Kagawa,29,175,68,Borussia Dortmund,77000,68,69,78,87,54,,,,,
205,K. Strootman,28,186,80,Olympique de Marseille,72000,66,72,81,77,79,,,,,
206,K. Glik,30,190,80,AS Monaco,86000,51,32,44,53,83,,,,,
207,D. SubaÅ¡iÄ,33,191,84,AS Monaco,70000,,,,,,82,80,79,53,82
208,Pizzi,28,177,72,SL Benfica,22000,77,76,82,81,64,,,,,
209,Felipe,29,191,86,FC Porto,22000,64,41,58,59,83,,,,,
210,Lucas VÃ¡zquez,27,173,70,Real Madrid,205000,81,75,82,82,46,,,,,
211,Louri Beretta,26,188,83,AtlÃ©tico Mineiro,60000,81,84,62,72,33,,,,,
212,JosuÃ© Chiamulera,26,185,80,GrÃªmio,43000,80,43,56,64,85,,,,,
213,Ronaldo Cabrais,26,177,75,GrÃªmio,51000,87,77,83,84,35,,,,,
214,G. Donnarumma,19,196,90,Milan,23000,,,,,,88,78,72,50,78
215,O. DembÃ©lÃ©,21,178,67,FC Barcelona,140000,89,75,76,88,36,,,,,
216,Arthur,21,171,73,FC Barcelona,125000,69,73,79,82,70,,,,,
217,A. Romagnoli,23,188,78,Milan,84000,66,34,52,65,84,,,,,
218,Anderson Talisca,24,191,80,Guangzhou Evergrande Taobao FC,16000,76,82,80,81,59,,,,,
219,A. Christensen,22,188,78,Chelsea,98000,69,31,63,70,84,,,,,
220,C. Lenglet,23,186,81,FC Barcelona,135000,73,35,59,66,83,,,,,
221,L. HernÃ¡ndez,22,182,76,Atl�tico Madrid,53000,82,47,68,71,80,,,,,
222,L. Bailey,20,180,75,Bayer 04 Leverkusen,58000,93,77,75,85,33,,,,,
223,S. Gnabry,22,175,75,FC Bayern Munich,78000,91,81,72,86,44,,,,,
224,T. Partey,25,185,77,Atl�tico Madrid,59000,75,67,74,77,80,,,,,
225,J. Brandt,22,185,82,Bayer 04 Leverkusen,68000,81,77,78,85,30,,,,,
226,Luis Alberto,25,183,74,Lazio,67000,73,77,85,85,33,,,,,
227,Rafinha,25,174,71,FC Barcelona,165000,70,76,79,85,69,,,,,
228,Suso,24,176,70,Milan,105000,80,75,82,87,33,,,,,
229,J. Stones,24,188,70,Manchester City,115000,69,36,69,71,83,,,,,
230,A. Belotti,24,181,72,Torino,58000,79,81,57,77,41,,,,,
231,F. Bernardeschi,24,185,77,Juventus,110000,83,75,80,86,56,,,,,
232,Pau LÃ³pez,23,189,77,Real Betis,21000,,,,,,81,82,79,49,83
233,E. Bailly,24,187,77,Manchester United,115000,74,42,59,65,82,,,,,
234,Gelson Martins,23,173,72,Atl�tico Madrid,59000,94,69,75,86,47,,,,,
235,Rodri,22,191,82,Atl�tico Madrid,59000,68,69,75,78,76,,,,,
236,H. Ziyech,25,180,65,Ajax,26000,75,73,86,82,57,,,,,
237,D. Rugani,23,190,84,Juventus,95000,62,39,53,64,85,,,,,
238,M. GÃ¶tze,26,176,75,Borussia Dortmund,67000,69,73,83,86,59,,,,,
239,K. Casteels,26,197,86,VfL Wolfsburg,46000,,,,,,83,77,77,45,81
240,W. Zaha,25,180,66,Crystal Palace,78000,91,74,73,88,29,,,,,
241,G. Kondogbia,25,188,80,Valencia CF,46000,73,73,76,79,83,,,,,
242,Felipe Anderson,25,175,70,West Ham United,98000,91,75,78,88,56,,,,,
243,Fred,25,169,64,Manchester United,140000,78,74,77,82,75,,,,,
244,J. Pavlenka,26,196,81,SV Werder Bremen,30000,,,,,,85,78,68,36,78
245,S. Mustafi,26,184,82,Arsenal,115000,62,57,64,61,81,,,,,
246,H. Maguire,25,194,100,Leicester City,77000,47,46,63,69,81,,,,,
247,E. Forsberg,26,179,78,RB Leipzig,67000,73,71,81,83,33,,,,,
248,Y. Sommer,29,183,79,Borussia M�nchengladbach,32000,,,,,,77,84,80,51,80
249,G. Wijnaldum,27,175,69,Liverpool,130000,76,72,77,83,72,,,,,
250,O. Toprak,28,186,83,Borussia Dortmund,64000,78,37,63,67,83,,,,,
251,A. Ramsey,27,183,76,Arsenal,130000,67,76,79,80,67,,,,,
252,Oscar,26,179,66,Shanghai SIPG FC,27000,73,76,80,81,55,,,,,
253,Marcos Alonso,27,188,84,Chelsea,115000,73,73,78,78,80,,,,,
254,VÃ­ctor Ruiz,29,185,78,Villarreal CF,43000,57,42,64,60,82,,,,,
255,S. Coates,27,196,92,Sporting CP,19000,56,43,52,59,83,,,,,
256,Bartra,27,184,73,Real Betis,32000,73,58,71,74,81,,,,,
257,C. Bakambu,27,182,73,Beijing Sinobo Guoan FC,33000,88,81,72,80,35,,,,,
258,Lucas,25,174,70,Tottenham Hotspur,105000,92,75,75,86,42,,,,,
259,Gabriel Paulista,27,187,79,Valencia CF,44000,73,49,68,65,83,,,,,
260,T. Meunier,26,191,90,Paris Saint-Germain,87000,78,76,77,75,78,,,,,
261,S. Zaza,27,186,84,Torino,52000,79,81,62,77,50,,,,,
262,A. Florenzi,27,173,67,Roma,73000,84,77,78,81,76,,,,,
263,J. Lingard,25,175,62,Manchester United,140000,83,78,76,83,56,,,,,
264,Dani GarcÃ­a,28,180,80,Athletic Club de Bilbao,33000,43,58,74,71,75,,,,,
265,A. KramariÄ,27,177,73,TSG 1899 Hoffenheim,54000,75,84,71,86,30,,,,,
266,J. Seri,26,168,65,Fulham,79000,76,71,82,81,73,,,,,
267,Casillas,37,185,84,FC Porto,10000,,,,,,87,74,58,58,82
268,JoaquÃ­n,36,179,75,Real Betis,26000,73,77,83,83,41,,,,,
269,P. Äech,36,196,90,Arsenal,60000,,,,,,78,82,70,37,83
270,R. Jarstein,33,190,82,Hertha BSC,30000,,,,,,79,80,76,43,86
271,David Villa,36,175,69,New York City FC,12000,69,83,74,82,34,,,,,
272,Dani Alves,35,172,68,Paris Saint-Germain,62000,78,71,81,84,77,,,,,
273,L. Biglia,32,178,63,Milan,98000,65,63,81,81,77,,,,,
274,A. Consigli,31,189,82,Sassuolo,52000,,,,,,82,83,72,40,82
275,L. Koscielny,32,186,75,Arsenal,115000,65,41,62,64,82,,,,,
276,A. Valencia,32,180,83,Manchester United,130000,85,67,76,80,79,,,,,
277,S. Sirigu,31,192,80,Torino,45000,,,,,,84,76,76,51,83
278,Jardel,32,192,87,SL Benfica,17000,57,42,54,53,83,,,,,
279,E. Garay,31,189,90,Valencia CF,44000,35,63,66,64,82,,,,,
280,A. Guardado,31,169,67,Real Betis,35000,73,67,81,82,72,,,,,
281,D. Wass,29,181,74,Valencia CF,50000,75,76,82,79,72,,,,,
282,Marcano,31,187,77,Roma,73000,68,46,60,60,83,,,,,
283,A. Witsel,29,188,81,Borussia Dortmund,70000,71,74,77,78,75,,,,,
284,L. Bender,29,185,81,Bayer 04 Leverkusen,75000,68,64,73,72,85,,,,,
285,O. Giroud,31,192,88,Chelsea,140000,47,82,71,73,42,,,,,
286,F. Fazio,31,195,85,Roma,73000,40,41,54,54,85,,,,,
287,V. Äorluka,32,192,84,Lokomotiv Moscow,1000,58,51,67,66,81,,,,,
288,A. Rami,32,190,90,Olympique de Marseille,57000,60,53,54,60,81,,,,,
289,L. Fejsa,29,184,80,SL Benfica,18000,54,57,66,68,82,,,,,
290,M. Parolo,33,184,75,Lazio,59000,69,76,76,76,79,,,,,
291,M. Kruse,30,180,76,SV Werder Bremen,45000,69,83,82,82,46,,,,,
292,J. Henderson,28,182,80,Liverpool,125000,66,70,83,75,77,,,,,
293,N. GaitÃ¡n,30,173,66,Dalian YiFang FC,22000,81,72,80,84,41,,,,,
294,M. ArnautoviÄ,29,192,83,West Ham United,120000,80,79,77,81,47,,,,,
295,S. Giovinco,31,163,61,Toronto FC,15000,84,80,79,87,27,,,,,
296,A. Kolarov,32,187,83,Roma,73000,71,70,81,76,81,,,,,
297,K. Trippier,27,178,72,Tottenham Hotspur,99000,75,58,82,76,79,,,,,
298,Marlos,30,174,69,Shakhtar Donetsk,1000,83,78,79,87,48,,,,,
299,S. Nzonzi,29,196,75,Roma,77000,50,67,72,70,81,,,,,
300,Taison,30,172,64,Shakhtar Donetsk,1000,92,79,75,86,47,,,,,
301,G. Bonaventura,28,181,75,Milan,115000,76,77,82,83,72,,,,,
302,Pedro,30,169,65,Chelsea,140000,76,77,77,84,43,,,,,
303,J. Pastore,29,188,77,Roma,84000,69,75,83,84,56,,,,,
304,Ander Herrera,28,182,70,Manchester United,150000,71,72,79,80,78,,,,,
305,I. Gueye,28,174,66,Everton,115000,72,59,70,77,84,,,,,
306,MÃ¡rio Fernandes,27,187,80,PFC CSKA Moscow,1000,82,62,73,77,81,,,,,
307,K. Kampl,27,178,67,RB Leipzig,67000,79,66,79,86,63,,,,,
308,Jonathan Viera,28,170,64,Beijing Sinobo Guoan FC,31000,81,75,81,84,61,,,,,
309,F. Acerbi,30,192,88,Lazio,59000,59,50,58,57,85,,,,,
310,Allan,27,175,74,Napoli,80000,75,66,76,82,82,,,,,
311,E. ViÅ¡Äa,28,172,63,Medipol Ba?ak?ehir FK,40000,89,79,75,83,47,,,,,
312,F. VÃ¡zquez,29,186,82,Sevilla FC,27000,60,77,80,82,47,,,,,
313,C. Bacca,31,181,77,Villarreal CF,49000,74,79,65,79,33,,,,,
314,J. Vardy,31,179,74,Leicester City,96000,90,81,63,77,54,,,,,
315,Raphaelito Anjos,30,190,85,GrÃªmio,32000,,,,,,79,84,77,42,83
316,Juiano Mestres,34,181,82,Cruzeiro,39000,71,61,57,62,82,,,,,
317,Rosberto Dourado,30,175,70,AtlÃ©tico Mineiro,46000,81,57,74,77,82,,,,,
318,M. Rashford,20,185,70,Manchester United,110000,92,80,74,83,40,,,,,
319,Grimaldo,22,171,69,SL Benfica,14000,84,62,76,82,76,,,,,
320,B. Mendy,23,185,85,Manchester City,105000,82,52,76,78,77,,,,,
321,A. DoucourÃ©,25,182,76,Watford,60000,67,74,73,76,79,,,,,
322,JoÃ£o Cancelo,24,182,74,Juventus,88000,88,64,77,81,77,,,,,
323,Williams,24,186,79,Athletic Club de Bilbao,31000,93,78,73,80,41,,,,,
324,J. Butland,25,196,95,Stoke City,42000,,,,,,83,77,71,56,81
325,Ricardo Pereira,24,175,70,Leicester City,64000,87,63,77,81,77,,,,,
326,G. Rulli,26,189,84,Real Sociedad,28000,,,,,,83,78,74,51,79
327,A. Robertson,24,178,64,Liverpool,91000,84,59,72,77,77,,,,,
328,Pablo Fornals,22,178,67,Villarreal CF,36000,66,75,80,79,71,,,,,
329,M. Lanzini,25,167,59,West Ham United,90000,81,72,78,86,32,,,,,
