,short_name,age,height_cm,weight_kg,club,wage_eur,pace,shooting,passing,dribbling,defending
48,M. HamÃÂ¡ÃÂ­k,30,183,79,Napoli,125000,68.0,80.0,84.0,84.0,72.0
49,J. Vertonghen,31,189,86,Tottenham Hotspur,155000,63.0,63.0,73.0,72.0,88.0
50,D. Mertens,31,169,61,Napoli,135000,89.0,83.0,80.0,91.0,34.0
51,A. SÃÂ¡nchez,29,169,74,Manchester United,250000,82.0,83.0,79.0,89.0,45.0
52,P. Aubameyang,29,187,80,Arsenal,220000,94.0,84.0,75.0,80.0,37.0
53,Jordi Alba,29,170,68,FC Barcelona,250000,93.0,69.0,79.0,83.0,79.0
54,C. Immobile,28,185,85,Lazio,115000,82.0,87.0,63.0,82.0,39.0
55,K. Navas,31,185,80,Real Madrid,195000,,,,,
56,L. SanÃÂ©,22,183,75,Manchester City,195000,95.0,81.0,78.0,86.0,38.0
57,R. Varane,25,191,81,Real Madrid,210000,84.0,45.0,61.0,64.0,86.0
58,Ederson,24,188,86,Manchester City,125000,,,,,
59,M. Verratti,25,165,60,Paris Saint-Germain,135000,65.0,60.0,84.0,89.0,79.0
60,Roberto Firmino,26,181,76,Liverpool,195000,77.0,83.0,80.0,86.0,61.0
61,Azpilicueta,28,178,78,Chelsea,175000,76.0,55.0,78.0,73.0,87.0
62,S. ManÃÂ©,26,175,69,Liverpool,195000,94.0,80.0,76.0,87.0,42.0
63,Fernandinho,33,179,67,Manchester City,185000,67.0,74.0,78.0,79.0,83.0
64,Naldo,35,198,91,FC Schalke 04,42000,63.0,69.0,64.0,61.0,87.0
65,M. ÃÂzil,29,180,76,Arsenal,190000,70.0,73.0,86.0,85.0,24.0
66,M. Benatia,31,189,94,Juventus,160000,70.0,45.0,54.0,64.0,87.0
67,M. PjaniÃÂ,28,178,72,Juventus,180000,66.0,70.0,86.0,86.0,73.0
68,I. PeriÃÂ¡iÃÂ,29,186,80,Inter,120000,86.0,80.0,80.0,84.0,62.0
69,J. Boateng,29,192,90,FC Bayern Munich,125000,73.0,50.0,72.0,65.0,85.0
70,L. Bonucci,31,190,85,Juventus,160000,61.0,58.0,69.0,70.0,87.0
71,Thiago,27,174,70,FC Bayern Munich,130000,73.0,74.0,84.0,90.0,67.0
72,Parejo,29,182,74,Valencia CF,72000,47.0,80.0,88.0,79.0,71.0
73,T. MÃÂ¼ller,28,186,75,FC Bayern Munich,145000,74.0,83.0,80.0,78.0,50.0
74,Douglas Costa,27,172,70,Juventus,175000,95.0,75.0,81.0,91.0,43.0
75,Alex Sandro,27,180,80,Juventus,160000,85.0,65.0,77.0,81.0,82.0
76,N. MatiÃÂ,29,194,85,Manchester United,195000,56.0,71.0,79.0,76.0,83.0
77,N. Otamendi,30,183,81,Manchester City,185000,60.0,57.0,63.0,59.0,86.0
78,Marco Asensio,22,182,76,Real Madrid,215000,81.0,84.0,83.0,85.0,43.0
79,M. ÃÂ kriniar,23,187,80,Inter,82000,72.0,41.0,57.0,61.0,87.0
80,SaÃÂºl,23,184,77,Atlético Madrid,77000,70.0,77.0,79.0,82.0,78.0
81,Alisson,25,191,91,Liverpool,115000,,,,,
82,S. MilinkoviÃÂ-SaviÃÂ,23,191,76,Lazio,73000,69.0,79.0,80.0,83.0,77.0
83,Fabinho,24,188,78,Liverpool,130000,71.0,69.0,78.0,77.0,84.0
84,N. Fekir,24,173,75,Olympique Lyonnais,92000,79.0,82.0,81.0,89.0,33.0
85,R. Sterling,23,170,69,Manchester City,180000,93.0,73.0,76.0,88.0,47.0
86,J. Kimmich,23,176,70,FC Bayern Munich,92000,73.0,68.0,83.0,82.0,77.0
87,K. Manolas,27,189,83,Roma,96000,83.0,18.0,42.0,61.0,86.0
88,D. Alaba,26,180,76,FC Bayern Munich,110000,82.0,73.0,80.0,80.0,81.0
89,V. van Dijk,26,193,92,Liverpool,150000,71.0,60.0,67.0,70.0,85.0
90,T. Alderweireld,29,186,81,Tottenham Hotspur,140000,62.0,57.0,72.0,65.0,88.0
91,Koke,26,176,74,Atlético Madrid,88000,69.0,75.0,88.0,82.0,69.0
92,A. Robben,34,180,80,FC Bayern Munich,120000,79.0,85.0,81.0,88.0,32.0
93,Z. IbrahimoviÃÂ,36,195,95,LA Galaxy,15000,59.0,86.0,77.0,78.0,34.0
94,Pepe,35,188,81,Be?ikta? J.K.,57000,68.0,51.0,57.0,61.0,85.0
95,V. Kompany,32,190,85,Manchester City,170000,56.0,54.0,65.0,65.0,85.0
96,F. RibÃÂ©ry,35,170,72,FC Bayern Munich,87000,78.0,76.0,82.0,88.0,30.0
97,Filipe LuÃÂ­s,32,182,74,Atlético Madrid,81000,75.0,62.0,78.0,78.0,81.0
98,Falcao,32,177,72,AS Monaco,125000,67.0,84.0,69.0,78.0,43.0
99,Miranda,33,186,78,Inter,96000,68.0,49.0,60.0,68.0,88.0
100,B. Matuidi,31,180,75,Juventus,145000,78.0,68.0,77.0,79.0,83.0
101,R. Nainggolan,30,176,77,Inter,105000,75.0,79.0,78.0,82.0,83.0
102,Diego Costa,29,188,86,Atlético Madrid,100000,75.0,83.0,64.0,76.0,49.0
103,S. Khedira,31,189,90,Juventus,160000,57.0,76.0,80.0,78.0,81.0
104,E. DÃÂ¾eko,32,193,84,Roma,115000,66.0,85.0,71.0,75.0,46.0
105,A. Vidal,31,180,75,FC Barcelona,205000,57.0,80.0,79.0,77.0,84.0
106,Y. Brahimi,28,175,66,FC Porto,28000,80.0,75.0,78.0,90.0,41.0
107,Paulinho,29,182,71,Guangzhou Evergrande Taobao FC,235000,73.0,81.0,77.0,81.0,79.0
108,M. Reus,29,180,71,Borussia Dortmund,92000,85.0,86.0,82.0,86.0,44.0
109,Iago Aspas,30,175,67,RC Celta,49000,81.0,86.0,77.0,86.0,35.0
110,R. Mahrez,27,179,67,Manchester City,205000,85.0,79.0,81.0,90.0,37.0
111,D. Alli,22,188,80,Tottenham Hotspur,115000,75.0,81.0,78.0,82.0,65.0
112,N. SÃÂ¼le,22,195,97,FC Bayern Munich,84000,67.0,41.0,52.0,49.0,83.0
113,Bernardo Silva,23,173,64,Manchester City,165000,78.0,72.0,83.0,89.0,46.0
114,M. Perin,25,188,77,Juventus,105000,,,,,
115,Marquinhos,24,183,75,Paris Saint-Germain,90000,75.0,38.0,69.0,67.0,85.0
116,D. SÃÂ¡nchez,22,187,79,Tottenham Hotspur,105000,76.0,45.0,55.0,66.0,84.0
117,J. GimÃÂ©nez,23,185,80,Atlético Madrid,63000,68.0,45.0,51.0,52.0,86.0
118,B. Leno,26,190,83,Arsenal,115000,,,,,
119,Sergi Roberto,26,178,68,FC Barcelona,185000,78.0,63.0,81.0,78.0,80.0
120,Carvajal,26,173,73,Real Madrid,185000,82.0,45.0,73.0,79.0,82.0
121,F. Thauvin,25,179,70,Olympique de Marseille,72000,83.0,80.0,81.0,84.0,42.0
122,Jorginho,26,180,65,Chelsea,155000,72.0,64.0,84.0,82.0,69.0
123,Alex Telles,25,181,71,FC Porto,22000,85.0,71.0,83.0,81.0,80.0
124,W. SzczÃÂsny,28,195,90,Juventus,115000,,,,,
125,S. de Vrij,26,189,78,Inter,88000,68.0,41.0,60.0,66.0,86.0
126,A. Lopes,27,184,81,Olympique Lyonnais,72000,,,,,
127,William Carvalho,26,187,83,Real Betis,38000,51.0,55.0,79.0,75.0,82.0
128,Sergio Asenjo,29,189,87,Villarreal CF,42000,,,,,
129,I. GÃÂ¼ndoÃÂan,27,180,80,Manchester City,175000,68.0,74.0,83.0,84.0,69.0
130,A. Lacazette,27,175,73,Arsenal,165000,81.0,82.0,72.0,84.0,40.0
131,Neto,28,190,84,Valencia CF,45000,,,,,
132,Rodrigo,27,182,77,Valencia CF,63000,90.0,81.0,73.0,82.0,44.0
133,H. Son,25,183,65,Tottenham Hotspur,125000,86.0,85.0,76.0,85.0,42.0
134,Quaresma,34,175,67,Be?ikta? J.K.,80000,83.0,74.0,82.0,88.0,24.0
135,A. Barzagli,37,187,87,Juventus,95000,68.0,34.0,57.0,64.0,89.0
136,A. GÃÂ³mez,30,165,68,Atalanta,53000,90.0,76.0,81.0,89.0,39.0
137,RaÃÂºl Albiol,32,190,82,Napoli,88000,53.0,41.0,61.0,63.0,86.0
138,M. DembÃÂ©lÃÂ©,30,185,82,Tottenham Hotspur,135000,72.0,70.0,77.0,87.0,78.0
139,Cesc FÃÂ bregas,31,180,77,Chelsea,155000,55.0,74.0,88.0,80.0,60.0
140,K. Schmeichel,31,189,89,Leicester City,78000,,,,,
141,K. Benzema,30,185,81,Real Madrid,225000,76.0,79.0,76.0,81.0,32.0
142,S. Ruffier,31,188,93,AS Saint-Étienne,41000,,,,,
143,Sokratis,30,186,85,Arsenal,140000,69.0,51.0,50.0,60.0,84.0
144,Jonas,34,181,74,SL Benfica,25000,64.0,86.0,77.0,84.0,38.0
145,D. Payet,31,175,77,Olympique de Marseille,75000,73.0,77.0,85.0,86.0,38.0
146,Javi MartÃÂ­nez,29,192,86,FC Bayern Munich,105000,51.0,55.0,70.0,64.0,86.0
147,Willian,29,175,77,Chelsea,175000,88.0,77.0,80.0,86.0,49.0
148,M. MandÃÂ¾ukiÃÂ,32,190,85,Juventus,160000,70.0,78.0,71.0,75.0,66.0
149,A. Di MarÃÂ­a,30,180,69,Paris Saint-Germain,125000,85.0,76.0,82.0,85.0,47.0
150,JosÃÂ© CallejÃÂ³n,31,178,73,Napoli,105000,88.0,78.0,75.0,83.0,47.0
151,K. Walker,28,183,70,Manchester City,165000,90.0,63.0,75.0,77.0,81.0
152,Illarramendi,28,179,75,Real Sociedad,51000,61.0,71.0,80.0,79.0,70.0
153,L. HrÃÂ¡deckÃÂ½,28,190,80,Bayer 04 Leverkusen,74000,,,,,
154,H. Mkhitaryan,29,177,75,Arsenal,160000,82.0,78.0,79.0,85.0,52.0
155,J. Cuadrado,30,179,72,Juventus,150000,91.0,74.0,77.0,88.0,66.0
156,Gabriel Jesus,21,175,73,Manchester City,130000,86.0,80.0,72.0,87.0,39.0
157,Kepa,23,187,85,Chelsea,84000,,,,,
158,Malcom,21,172,74,FC Barcelona,155000,84.0,79.0,81.0,85.0,27.0
159,M. KovaÃÂiÃÂ,24,178,78,Chelsea,165000,79.0,69.0,82.0,86.0,69.0
160,A. Martial,22,184,76,Manchester United,150000,89.0,81.0,73.0,86.0,42.0
161,T. Lemar,22,171,62,Atlético Madrid,64000,85.0,76.0,83.0,85.0,59.0
162,P. Kimpembe,22,189,80,Paris Saint-Germain,82000,77.0,39.0,67.0,67.0,82.0
163,M. Depay,24,176,78,Olympique Lyonnais,84000,88.0,81.0,78.0,84.0,33.0
164,L. Goretzka,23,189,79,FC Bayern Munich,85000,83.0,74.0,80.0,81.0,77.0
165,A. Laporte,24,189,85,Manchester City,125000,65.0,50.0,67.0,61.0,85.0
166,J. Tah,22,194,95,Bayer 04 Leverkusen,67000,71.0,27.0,58.0,58.0,83.0
167,C. Tolisso,23,181,81,FC Bayern Munich,85000,70.0,77.0,79.0,78.0,76.0
168,N. KeÃÂ¯ta,23,172,64,Liverpool,120000,68.0,73.0,78.0,88.0,64.0
169,T. Horn,25,192,90,1. FC KÃ¶ln,25000,,,,,
170,A. Rabiot,23,192,80,Paris Saint-Germain,91000,74.0,74.0,79.0,80.0,77.0
171,Samu Castillejo,23,182,67,Milan,105000,86.0,75.0,81.0,84.0,43.0
172,T. Werner,22,181,75,RB Leipzig,70000,93.0,79.0,67.0,83.0,35.0
173,Bruno Fernandes,23,179,69,Sporting CP,20000,78.0,80.0,84.0,83.0,62.0
174,K. Coman,22,178,71,FC Bayern Munich,85000,94.0,76.0,75.0,86.0,25.0
175,GonÃÂ§alo Guedes,21,179,68,Valencia CF,39000,90.0,79.0,76.0,84.0,36.0
176,Willian JosÃÂ©,26,189,93,Real Sociedad,48000,64.0,83.0,66.0,77.0,40.0
177,Danilo Pereira,26,188,83,FC Porto,21000,66.0,64.0,70.0,74.0,82.0
178,Morata,25,189,85,Chelsea,145000,82.0,79.0,71.0,80.0,31.0
179,J. Draxler,24,187,77,Paris Saint-Germain,91000,77.0,80.0,82.0,87.0,55.0
180,S. SaviÃÂ,27,187,79,Atlético Madrid,67000,58.0,35.0,54.0,57.0,84.0
181,J. Pickford,24,185,77,Everton,78000,,,,,
182,Manu Trigueros,26,178,75,Villarreal CF,49000,70.0,74.0,81.0,81.0,70.0
183,Y. Carrasco,24,181,73,Dalian YiFang FC,20000,88.0,79.0,75.0,87.0,41.0
184,Nacho FernÃÂ¡ndez,28,180,76,Real Madrid,180000,74.0,37.0,66.0,64.0,81.0
185,Gerard Moreno,26,180,77,Villarreal CF,53000,79.0,81.0,66.0,78.0,45.0
186,R. FÃÂ¤hrmann,29,197,98,FC Schalke 04,38000,,,,,
187,O. Baumann,28,187,82,TSG 1899 Hoffenheim,42000,,,,,
188,Q. Promes,26,174,72,Sevilla FC,28000,90.0,83.0,78.0,83.0,32.0
189,Pepe Reina,35,188,92,Milan,56000,,,,,
190,D. De Rossi,34,184,83,Roma,80000,65.0,63.0,73.0,69.0,85.0
191,Aduriz,37,182,78,Athletic Club de Bilbao,31000,67.0,82.0,64.0,75.0,50.0
192,S. Mandanda,33,185,82,Olympique de Marseille,51000,,,,,
193,E. Viviano,32,195,90,Sporting CP,17000,,,,,
194,Lucas Leiva,31,179,78,Lazio,64000,67.0,66.0,76.0,78.0,82.0
195,Rui PatrÃÂ­cio,30,190,84,Wolverhampton Wanderers,74000,,,,,
196,AdÃÂ¡n,31,190,92,Atlético Madrid,55000,,,,,
197,Juan Mata,30,170,63,Manchester United,160000,65.0,76.0,84.0,85.0,37.0
198,E. Banega,30,174,71,Sevilla FC,28000,66.0,71.0,86.0,83.0,69.0
199,David Luiz,31,189,84,Chelsea,130000,61.0,65.0,73.0,70.0,82.0
200,Giuliano,28,172,68,Al Nassr,64000,82.0,78.0,79.0,84.0,46.0
201,Luiz Gustavo,30,187,78,Olympique de Marseille,63000,64.0,60.0,71.0,70.0,82.0
202,M. Balotelli,27,189,88,OGC Nice,55000,79.0,84.0,73.0,79.0,24.0
203,B. Dost,29,196,89,Sporting CP,26000,52.0,83.0,57.0,65.0,45.0
204,S. Kagawa,29,175,68,Borussia Dortmund,77000,68.0,69.0,78.0,87.0,54.0
205,K. Strootman,28,186,80,Olympique de Marseille,72000,66.0,72.0,81.0,77.0,79.0
206,K. Glik,30,190,80,AS Monaco,86000,51.0,32.0,44.0,53.0,83.0
207,D. SubaÃÂ¡iÃÂ,33,191,84,AS Monaco,70000,,,,,
208,Pizzi,28,177,72,SL Benfica,22000,77.0,76.0,82.0,81.0,64.0
209,Felipe,29,191,86,FC Porto,22000,64.0,41.0,58.0,59.0,83.0
210,Lucas VÃÂ¡zquez,27,173,70,Real Madrid,205000,81.0,75.0,82.0,82.0,46.0
211,Louri Beretta,26,188,83,AtlÃÂ©tico Mineiro,60000,81.0,84.0,62.0,72.0,33.0
212,JosuÃÂ© Chiamulera,26,185,80,GrÃÂªmio,43000,80.0,43.0,56.0,64.0,85.0
213,Ronaldo Cabrais,26,177,75,GrÃÂªmio,51000,87.0,77.0,83.0,84.0,35.0
214,G. Donnarumma,19,196,90,Milan,23000,,,,,
215,O. DembÃÂ©lÃÂ©,21,178,67,FC Barcelona,140000,89.0,75.0,76.0,88.0,36.0
216,Arthur,21,171,73,FC Barcelona,125000,69.0,73.0,79.0,82.0,70.0
217,A. Romagnoli,23,188,78,Milan,84000,66.0,34.0,52.0,65.0,84.0
218,Anderson Talisca,24,191,80,Guangzhou Evergrande Taobao FC,16000,76.0,82.0,80.0,81.0,59.0
219,A. Christensen,22,188,78,Chelsea,98000,69.0,31.0,63.0,70.0,84.0
220,C. Lenglet,23,186,81,FC Barcelona,135000,73.0,35.0,59.0,66.0,83.0
221,L. HernÃÂ¡ndez,22,182,76,Atlético Madrid,53000,82.0,47.0,68.0,71.0,80.0
222,L. Bailey,20,180,75,Bayer 04 Leverkusen,58000,93.0,77.0,75.0,85.0,33.0
223,S. Gnabry,22,175,75,FC Bayern Munich,78000,91.0,81.0,72.0,86.0,44.0
224,T. Partey,25,185,77,Atlético Madrid,59000,75.0,67.0,74.0,77.0,80.0
225,J. Brandt,22,185,82,Bayer 04 Leverkusen,68000,81.0,77.0,78.0,85.0,30.0
226,Luis Alberto,25,183,74,Lazio,67000,73.0,77.0,85.0,85.0,33.0
227,Rafinha,25,174,71,FC Barcelona,165000,70.0,76.0,79.0,85.0,69.0
228,Suso,24,176,70,Milan,105000,80.0,75.0,82.0,87.0,33.0
229,J. Stones,24,188,70,Manchester City,115000,69.0,36.0,69.0,71.0,83.0
230,A. Belotti,24,181,72,Torino,58000,79.0,81.0,57.0,77.0,41.0
231,F. Bernardeschi,24,185,77,Juventus,110000,83.0,75.0,80.0,86.0,56.0
232,Pau LÃÂ³pez,23,189,77,Real Betis,21000,,,,,
233,E. Bailly,24,187,77,Manchester United,115000,74.0,42.0,59.0,65.0,82.0
234,Gelson Martins,23,173,72,Atlético Madrid,59000,94.0,69.0,75.0,86.0,47.0
235,Rodri,22,191,82,Atlético Madrid,59000,68.0,69.0,75.0,78.0,76.0
236,H. Ziyech,25,180,65,Ajax,26000,75.0,73.0,86.0,82.0,57.0
237,D. Rugani,23,190,84,Juventus,95000,62.0,39.0,53.0,64.0,85.0
238,M. GÃÂ¶tze,26,176,75,Borussia Dortmund,67000,69.0,73.0,83.0,86.0,59.0
239,K. Casteels,26,197,86,VfL Wolfsburg,46000,,,,,
240,W. Zaha,25,180,66,Crystal Palace,78000,91.0,74.0,73.0,88.0,29.0
241,G. Kondogbia,25,188,80,Valencia CF,46000,73.0,73.0,76.0,79.0,83.0
242,Felipe Anderson,25,175,70,West Ham United,98000,91.0,75.0,78.0,88.0,56.0
243,Fred,25,169,64,Manchester United,140000,78.0,74.0,77.0,82.0,75.0
244,J. Pavlenka,26,196,81,SV Werder Bremen,30000,,,,,
245,S. Mustafi,26,184,82,Arsenal,115000,62.0,57.0,64.0,61.0,81.0
246,H. Maguire,25,194,100,Leicester City,77000,47.0,46.0,63.0,69.0,81.0
247,E. Forsberg,26,179,78,RB Leipzig,67000,73.0,71.0,81.0,83.0,33.0
248,Y. Sommer,29,183,79,Borussia Mönchengladbach,32000,,,,,
249,G. Wijnaldum,27,175,69,Liverpool,130000,76.0,72.0,77.0,83.0,72.0
250,O. Toprak,28,186,83,Borussia Dortmund,64000,78.0,37.0,63.0,67.0,83.0
251,A. Ramsey,27,183,76,Arsenal,130000,67.0,76.0,79.0,80.0,67.0
252,Oscar,26,179,66,Shanghai SIPG FC,27000,73.0,76.0,80.0,81.0,55.0
253,Marcos Alonso,27,188,84,Chelsea,115000,73.0,73.0,78.0,78.0,80.0
254,VÃÂ­ctor Ruiz,29,185,78,Villarreal CF,43000,57.0,42.0,64.0,60.0,82.0
255,S. Coates,27,196,92,Sporting CP,19000,56.0,43.0,52.0,59.0,83.0
256,Bartra,27,184,73,Real Betis,32000,73.0,58.0,71.0,74.0,81.0
257,C. Bakambu,27,182,73,Beijing Sinobo Guoan FC,33000,88.0,81.0,72.0,80.0,35.0
258,Lucas,25,174,70,Tottenham Hotspur,105000,92.0,75.0,75.0,86.0,42.0
259,Gabriel Paulista,27,187,79,Valencia CF,44000,73.0,49.0,68.0,65.0,83.0
260,T. Meunier,26,191,90,Paris Saint-Germain,87000,78.0,76.0,77.0,75.0,78.0
261,S. Zaza,27,186,84,Torino,52000,79.0,81.0,62.0,77.0,50.0
262,A. Florenzi,27,173,67,Roma,73000,84.0,77.0,78.0,81.0,76.0
263,J. Lingard,25,175,62,Manchester United,140000,83.0,78.0,76.0,83.0,56.0
264,Dani GarcÃÂ­a,28,180,80,Athletic Club de Bilbao,33000,43.0,58.0,74.0,71.0,75.0
265,A. KramariÃÂ,27,177,73,TSG 1899 Hoffenheim,54000,75.0,84.0,71.0,86.0,30.0
266,J. Seri,26,168,65,Fulham,79000,76.0,71.0,82.0,81.0,73.0
267,Casillas,37,185,84,FC Porto,10000,,,,,
268,JoaquÃÂ­n,36,179,75,Real Betis,26000,73.0,77.0,83.0,83.0,41.0
269,P. ÃÂech,36,196,90,Arsenal,60000,,,,,
270,R. Jarstein,33,190,82,Hertha BSC,30000,,,,,
271,David Villa,36,175,69,New York City FC,12000,69.0,83.0,74.0,82.0,34.0
272,Dani Alves,35,172,68,Paris Saint-Germain,62000,78.0,71.0,81.0,84.0,77.0
273,L. Biglia,32,178,63,Milan,98000,65.0,63.0,81.0,81.0,77.0
274,A. Consigli,31,189,82,Sassuolo,52000,,,,,
275,L. Koscielny,32,186,75,Arsenal,115000,65.0,41.0,62.0,64.0,82.0
276,A. Valencia,32,180,83,Manchester United,130000,85.0,67.0,76.0,80.0,79.0
277,S. Sirigu,31,192,80,Torino,45000,,,,,
278,Jardel,32,192,87,SL Benfica,17000,57.0,42.0,54.0,53.0,83.0
279,E. Garay,31,189,90,Valencia CF,44000,35.0,63.0,66.0,64.0,82.0
280,A. Guardado,31,169,67,Real Betis,35000,73.0,67.0,81.0,82.0,72.0
281,D. Wass,29,181,74,Valencia CF,50000,75.0,76.0,82.0,79.0,72.0
282,Marcano,31,187,77,Roma,73000,68.0,46.0,60.0,60.0,83.0
283,A. Witsel,29,188,81,Borussia Dortmund,70000,71.0,74.0,77.0,78.0,75.0
284,L. Bender,29,185,81,Bayer 04 Leverkusen,75000,68.0,64.0,73.0,72.0,85.0
285,O. Giroud,31,192,88,Chelsea,140000,47.0,82.0,71.0,73.0,42.0
286,F. Fazio,31,195,85,Roma,73000,40.0,41.0,54.0,54.0,85.0
287,V. ÃÂorluka,32,192,84,Lokomotiv Moscow,1000,58.0,51.0,67.0,66.0,81.0
288,A. Rami,32,190,90,Olympique de Marseille,57000,60.0,53.0,54.0,60.0,81.0
289,L. Fejsa,29,184,80,SL Benfica,18000,54.0,57.0,66.0,68.0,82.0
290,M. Parolo,33,184,75,Lazio,59000,69.0,76.0,76.0,76.0,79.0
291,M. Kruse,30,180,76,SV Werder Bremen,45000,69.0,83.0,82.0,82.0,46.0
292,J. Henderson,28,182,80,Liverpool,125000,66.0,70.0,83.0,75.0,77.0
293,N. GaitÃÂ¡n,30,173,66,Dalian YiFang FC,22000,81.0,72.0,80.0,84.0,41.0
294,M. ArnautoviÃÂ,29,192,83,West Ham United,120000,80.0,79.0,77.0,81.0,47.0
295,S. Giovinco,31,163,61,Toronto FC,15000,84.0,80.0,79.0,87.0,27.0
296,A. Kolarov,32,187,83,Roma,73000,71.0,70.0,81.0,76.0,81.0
297,K. Trippier,27,178,72,Tottenham Hotspur,99000,75.0,58.0,82.0,76.0,79.0
298,Marlos,30,174,69,Shakhtar Donetsk,1000,83.0,78.0,79.0,87.0,48.0
299,S. Nzonzi,29,196,75,Roma,77000,50.0,67.0,72.0,70.0,81.0
300,Taison,30,172,64,Shakhtar Donetsk,1000,92.0,79.0,75.0,86.0,47.0
301,G. Bonaventura,28,181,75,Milan,115000,76.0,77.0,82.0,83.0,72.0
302,Pedro,30,169,65,Chelsea,140000,76.0,77.0,77.0,84.0,43.0
303,J. Pastore,29,188,77,Roma,84000,69.0,75.0,83.0,84.0,56.0
304,Ander Herrera,28,182,70,Manchester United,150000,71.0,72.0,79.0,80.0,78.0
305,I. Gueye,28,174,66,Everton,115000,72.0,59.0,70.0,77.0,84.0
306,MÃÂ¡rio Fernandes,27,187,80,PFC CSKA Moscow,1000,82.0,62.0,73.0,77.0,81.0
